501,502,503
97.27337,95.62766,98.3068
96.78577,95.66294,97.14247
97.54409,95.24906,97.63807
96.62299,97.81863,97.12621
98.2115,97.1556,97.19413
96.87224,95.67781,96.54902
97.53526,97.36737,96.13
97.56873,95.85164,97.13806
97.01314,97.57208,96.61841
97.92902,97.51102,96.35865
98.11093,96.77127,96.46195
97.98096,96.42932,97.33319
98.54974,97.54129,97.18198
95.95995,97.62629,96.54076
97.29954,96.68163,97.54125
97.34304,96.83105,97.44788
98.04183,95.86517,97.56744
96.5036,97.84301,96.69166
98.24261,97.11355,97.07899
96.48962,97.35713,96.00115
98.08597,95.81291,97.67388
96.98188,95.96674,97.20284
95.55692,96.99319,96.14391
97.63255,97.99365,97.47464
97.84776,97.15228,95.98237
96.40842,97.62194,97.46085
97.25154,96.944,97.638
97.04345,97.20049,96.43537
97.1596,97.56738,97.12112
97.74641,97.1727,96.96447
96.19327,96.19884,97.40532
96.34939,95.27307,97.5362
97.10952,96.51469,97.46811
97.31824,97.62799,97.72287
97.44651,96.9062,96.53957
97.92557,97.766,97.76818
97.2788,96.84395,97.65532
96.97714,96.26313,96.1811
96.78411,97.45423,95.3613
97.47632,97.61081,97.00043
96.62813,96.86731,95.7674
97.82206,97.15631,97.83237
95.8653,96.45365,97.46207
96.92151,97.86337,97.67289
96.0769,95.71339,96.78359
97.71649,98.11212,97.49581
96.74607,97.06263,97.05162
98.02988,95.99726,98.0916
96.99708,97.33184,96.27817
97.13258,96.67576,97.09174
96.55813,96.51402,97.10403
97.62908,97.578,96.52483
96.65144,96.48023,96.57013
97.54047,96.40693,96.29441
98.22416,96.91784,95.22681
97.61962,95.98753,96.7461
97.66242,97.46583,97.7864
97.2965,98.29497,96.55443
97.59896,97.25692,98.09866
95.5732,97.21454,98.10101
97.19837,97.54946,96.57794
97.89588,97.57452,96.34576
97.41152,96.05092,96.94939
96.14008,96.06266,97.17432
97.28976,97.27207,97.03356
97.18705,95.07304,96.82796
96.77574,96.84037,96.91894
97.38099,95.89753,97.1446
96.85825,97.0157,97.43458
97.02175,98.14101,97.70507
96.51503,96.55726,97.51218
97.23504,96.98115,96.72507
96.67869,97.74326,97.16724
97.63498,95.98389,97.39552
95.70544,96.95854,97.06945
97.90935,97.86383,97.03489
97.65453,97.70363,97.40883
97.0844,97.16859,97.43043
97.13179,96.95614,97.61854
97.26592,96.91461,95.61114
96.74872,95.44223,96.27495
98.06821,97.53748,97.82368
97.11595,96.35623,97.44923
97.72934,96.25896,98.30178
